State,Season,pH_Level,Turbidity_NTU,Nitrate_mgL,Bacteria_Count_CFU,Rainfall_mm,Temp_C,Outbreak_Risk
Mizoram,Pre-Monsoon,8.102176263168332,1.8121136266561337,0.07006921658776477,749.177855074653,65.01160066383032,17.097276125373764,0
Meghalaya,Winter,6.567180402383661,2.915949043160921,43.806388013968444,574.3388723911714,37.7583883339865,32.66039882600272,0
Nagaland,Monsoon,7.579035815774823,7.004076532133682,40.01429490012133,1608.9291160269768,622.8305675278616,17.874778307720092,1
Assam,Monsoon,7.419925950625264,6.288475341061108,29.733620940186434,1979.5293739261892,563.6735913412982,25.850914489597777,1
Tripura,Pre-Monsoon,6.114133547084984,1.8349451561834973,45.546233084575945,542.9145458705073,109.43488301523907,29.664934708744056,0
Tripura,Winter,7.472579337273144,1.9165328797875794,41.78643802777143,552.8303237858287,31.608488107135,24.605208998435366,0
Tripura,Pre-Monsoon,6.56824796325955,1.1930289857195517,21.41294867332006,191.95942274852598,82.12790690555263,34.959901323546895,0
Arunachal Pradesh,Monsoon,8.369948941246108,11.44961138371992,35.413694985345835,510.16544403198685,340.60384558538385,26.317151793957013,1
Arunachal Pradesh,Post-Monsoon,6.327523681525102,2.2429181979510506,10.03608153178358,405.7330295037291,56.907028827255516,27.102731029575967,0
Meghalaya,Pre-Monsoon,6.230869652755784,1.2735085696080324,5.4779428825985965,596.1749919785032,118.46708679261747,34.9153118899335,0
Meghalaya,Monsoon,7.9028418981748585,11.101590119004632,29.704250860358687,3863.485119970169,533.5932079086974,28.091376784083895,1
Meghalaya,Winter,8.082699913066273,0.8080333210636678,0.18353629753524725,672.3362313620823,90.07165257274656,15.891873855554328,0
Assam,Winter,6.614963803234561,2.51643305939725,45.85690907832653,577.8562319852199,138.88602652381357,16.103842617588867,0
Manipur,Monsoon,6.834197522548778,10.238453823329632,25.367213299643293,1901.333172044098,589.8531607796451,26.388626638871155,1
Meghalaya,Winter,7.865562610452979,1.9901244615632696,25.548955686667647,302.4731413625166,49.52249366296305,15.349529894498914,0
Assam,Pre-Monsoon,6.811798128405287,3.1445309804461963,41.27285978494248,547.315222592711,24.9726659733592,23.991940045813934,0
Arunachal Pradesh,Winter,6.5419369909233165,3.386206277818121,5.035382006424694,346.5938127661894,141.17969001001657,17.685858014686893,0
Mizoram,Pre-Monsoon,7.438921296110783,1.0326865180321616,27.59403721276606,579.0309062373824,108.69888847856429,15.963173400676105,0
Tripura,Post-Monsoon,8.27149137564443,3.530482383411697,36.88880139874837,469.11762872875795,134.53218493399373,32.389686300444765,0
Sikkim,Pre-Monsoon,6.114671165704888,1.2399752636786845,24.989555744320885,25.337411632178796,121.67782849873979,24.796532570302098,0
Sikkim,Winter,7.147618931061325,3.829443732984125,13.403747005779376,88.24495578731486,107.48280151045311,25.31961363178734,0
Assam,Monsoon,7.04209050588889,10.001772321386575,18.899795367555683,2721.3684766493047,332.224575036176,26.212436636830994,1
Nagaland,Monsoon,8.438165383293054,6.116242441293127,14.277625499542534,1527.2663255421792,434.8797856117634,15.224562896645061,1
Manipur,Monsoon,7.084380416469566,9.95229292432947,44.755352869467714,4932.318239516153,569.622968874361,30.089833415772404,1
Manipur,Post-Monsoon,7.108336176368918,1.9687643284806093,29.855606331854307,190.27389100425341,69.23705433524049,26.169673194246904,0
Tripura,Post-Monsoon,6.606142427495953,3.7788817005807838,13.054586013112202,252.09474304099834,147.7810400742869,33.95778483007413,0
Tripura,Post-Monsoon,8.478570368655529,2.7042671371168954,29.52693701202149,771.8946663541326,135.12376346477342,28.918438851647096,0
Sikkim,Monsoon,7.5541934633492005,9.949455499517931,31.465586712638917,4587.744686442829,775.6001421885053,31.39937072721942,1
Tripura,Winter,6.097165181801686,1.0795977504862233,3.0900849538250066,31.907870860874738,61.015179059670295,33.680252802687974,0
Sikkim,Winter,6.294411467037528,3.9401843736341706,6.8932788690812705,213.46017142627025,10.229206377021391,25.7093123481421,0
Arunachal Pradesh,Winter,8.065758912315196,1.4044662914233739,22.33465162999981,348.5251436484039,111.92800641486639,25.57573200809394,0
